elevation_m,slope_deg,dist_to_river_m,drainage_density,impervious_surface_ratio,rainfall_1h_mm,flood_occurred
69.93,2.492,7362.69,0.25,0.6656,7.267,0
69.39,2.286,7918.85,1.928,0.7175,5.586,0
67.39,2.432,6713.95,0.645,0.7216,11.101,0
52.85,2.268,2663.6,0.655,0.1666,3.863,0
54.06,0.926,2857.4,1.483,0.4298,71.482,0
55.76,2.642,4604.21,0.431,0.8293,3.541,0
70.59,1.33,8185.29,1.657,0.3696,16.775,0
57.96,1.202,4395.95,1.353,0.3283,22.206,0
43.73,2.071,114.21,1.684,0.6194,8.152,0
43.73,1.927,687.78,0.86,0.3697,33.912,0
63.19,1.262,6145.94,1.005,0.357,2.451,0
55.69,2.645,3631.75,1.555,0.782,17.205,0
51.17,0.946,2627.98,1.06,0.556,19.14,0
56.01,1.35,4005.9,0.627,0.4812,41.66,0
66.0,1.54,6786.61,1.466,0.3846,30.709,0
64.88,1.949,6409.56,0.649,0.2894,0.445,0
47.24,0.389,2156.68,1.029,0.5908,3.892,0
63.19,1.485,5949.38,0.688,0.6092,0.1,0
64.5,1.305,6408.1,0.552,0.8206,13.135,0
43.26,0.848,521.83,1.897,0.4695,29.098,0
63.59,2.67,5707.65,1.983,0.5789,22.867,0
57.07,2.359,4340.14,1.296,0.778,24.502,0
56.25,1.858,4087.27,1.732,0.5149,17.739,0
51.33,0.401,2406.62,0.771,0.3402,6.934,0
58.79,2.004,4637.28,1.613,0.195,9.424,0
58.97,1.281,4657.93,0.614,0.4441,42.339,0
58.73,2.191,5006.27,0.961,0.1541,7.803,0
62.27,2.419,6429.19,2.107,0.4433,24.775,0
57.73,0.77,4687.51,1.072,0.1703,7.374,0
61.8,1.251,5804.79,0.53,0.4772,2.458,0
61.83,1.667,5326.96,0.254,0.5999,2.625,0
56.13,0.331,3978.27,0.958,0.2982,7.124,0
63.28,2.363,6494.33,0.705,0.2073,0.352,0
59.59,2.8,4631.12,0.9,0.6051,27.355,0
61.59,0.718,5574.74,0.241,0.2567,2.429,0
59.1,1.666,5723.45,0.636,0.6396,26.213,0
45.73,0.498,1509.43,1.839,0.8253,2.059,0
41.86,1.011,315.7,1.555,0.8207,9.095,0
65.0,1.831,6106.12,0.404,0.6907,34.183,0
60.85,0.515,5143.46,2.168,0.6978,7.677,0
53.97,1.087,3698.38,1.899,0.7256,2.008,0
71.63,1.853,8170.62,1.857,0.6451,10.292,0
64.85,2.301,6263.88,1.276,0.4884,10.295,0
63.64,0.898,6240.62,1.903,0.7315,1.632,0
68.32,1.787,7505.7,0.958,0.1701,34.263,0
49.04,0.752,1627.45,1.796,0.3882,38.213,0
62.94,2.665,5989.94,0.371,0.6541,12.07,0
64.81,1.996,6468.58,1.492,0.4936,28.345,0
45.41,0.996,881.65,1.363,0.4813,13.626,0
56.67,2.139,3674.23,0.862,0.642,5.687,0
50.31,0.511,2211.79,1.272,0.6835,3.686,0
49.25,1.459,1917.63,1.649,0.8336,13.386,0
51.31,0.791,2477.19,0.559,0.1599,13.749,0
50.88,2.733,2404.22,1.307,0.6382,2.43,0
65.45,1.693,7395.07,1.139,0.4583,3.668,0
44.0,2.647,531.56,1.155,0.7255,9.216,0
44.25,0.588,722.29,1.326,0.3627,91.844,1
45.54,2.188,1094.99,1.413,0.7035,4.604,0
56.48,2.436,4489.61,2.18,0.3638,17.465,0
60.67,2.124,5220.9,2.095,0.2955,4.266,0
62.18,0.395,5647.6,0.205,0.4654,16.217,0
51.53,0.802,2546.58,1.614,0.6421,10.893,0
64.44,1.825,5874.03,1.522,0.8036,9.965,0
57.39,1.884,4674.32,2.017,0.7286,1.334,0
46.52,1.68,1493.75,0.777,0.237,21.005,0
64.79,2.651,5977.76,1.201,0.4957,1.51,0
42.56,0.851,434.83,0.383,0.8233,32.537,1
59.7,2.672,4931.67,2.199,0.6206,5.653,0
43.59,1.894,437.95,2.032,0.277,15.845,0
59.66,1.478,5432.19,0.382,0.3936,7.298,0
62.72,2.004,5729.12,0.776,0.8116,30.234,0
57.69,1.383,4720.81,0.829,0.3763,63.229,0
50.67,1.91,3495.07,1.285,0.4393,3.739,0
52.66,2.167,3138.95,1.451,0.682,4.097,0
59.65,2.015,4713.44,0.443,0.8312,16.897,0
48.82,0.612,2110.1,1.302,0.5366,1.761,0
72.66,0.505,8434.96,1.864,0.4989,22.696,0
56.62,0.911,4374.52,1.869,0.8362,5.028,0
56.54,1.521,4730.63,1.959,0.7548,5.82,0
67.39,1.279,6736.05,2.068,0.5054,30.921,0
50.19,2.797,2475.85,1.179,0.254,13.922,0
54.02,1.635,2999.04,1.287,0.4687,6.989,0
47.39,0.807,1684.68,1.751,0.1806,24.576,0
61.61,2.31,6023.91,0.972,0.6146,30.941,0
70.86,1.506,8338.87,1.38,0.7588,37.314,0
55.3,1.567,3798.57,1.114,0.6557,9.497,0
62.36,2.72,5600.16,0.877,0.6349,18.888,0
68.51,2.416,7254.83,1.919,0.416,6.854,0
63.62,0.293,6137.23,0.337,0.5918,45.673,0
69.24,2.142,8478.38,1.068,0.2189,18.08,0
66.27,2.549,7429.67,0.292,0.7073,6.25,0
54.01,0.578,3248.67,1.262,0.5461,28.309,0
49.48,1.811,1527.86,0.682,0.789,2.78,0
57.06,0.86,3973.66,0.711,0.1566,29.392,0
68.54,1.348,7670.16,0.891,0.5613,18.337,0
54.19,0.85,3664.2,1.891,0.2895,8.741,0
56.68,1.695,4158.95,2.185,0.3567,68.655,0
63.26,0.914,5629.13,1.332,0.6301,24.573,0
42.69,2.551,511.97,0.772,0.7092,16.814,0
51.84,1.855,3059.5,1.442,0.6244,22.973,0
62.62,2.549,5637.12,1.493,0.3663,10.463,0
57.95,2.104,4968.42,0.38,0.3566,24.773,0
48.52,2.726,1575.38,1.262,0.7894,31.945,0
51.01,2.344,2258.55,1.164,0.7145,24.707,0
54.62,0.566,2945.21,2.133,0.7521,23.187,0
73.2,2.715,8331.51,1.809,0.406,28.15,0
41.47,1.949,216.92,1.545,0.5592,31.11,1
69.69,0.482,7998.45,0.668,0.1675,38.811,0
59.59,0.364,4815.82,1.848,0.7866,6.477,0
53.92,0.563,3529.69,2.093,0.3631,12.213,0
45.7,1.379,916.41,1.541,0.6702,52.529,1
54.25,2.13,3620.66,0.509,0.4404,1.877,0
54.26,0.285,4210.52,0.941,0.4604,54.124,0
69.11,0.458,7285.78,1.571,0.5311,68.572,0
52.27,0.518,3112.86,1.896,0.4683,19.566,0
61.68,1.753,5490.32,0.243,0.7008,5.025,0
45.64,2.189,1157.76,0.614,0.3012,36.682,0
51.83,0.584,2859.9,2.001,0.152,35.186,0
47.23,0.654,1315.38,1.522,0.168,0.269,0
66.24,0.819,6735.87,0.848,0.272,0.969,0
62.2,1.438,6330.43,1.756,0.5093,2.078,0
56.84,2.658,4332.24,0.287,0.6983,36.311,0
54.69,0.358,4480.19,1.158,0.4311,20.856,0
57.57,2.565,4218.26,0.347,0.2066,16.871,0
44.02,1.626,651.73,0.85,0.8462,13.612,0
57.37,1.774,3911.21,0.398,0.6412,34.486,0
61.71,0.759,5567.7,1.103,0.3099,7.45,0
53.78,1.282,3909.39,0.39,0.4487,19.691,0
54.91,0.375,3244.13,1.864,0.2153,1.828,0
66.3,2.311,6305.89,1.313,0.5605,14.843,0
52.85,1.93,2869.03,1.701,0.7577,22.982,0
71.6,1.761,8234.55,0.903,0.5545,4.306,0
61.75,2.398,5616.58,0.935,0.6838,15.364,0
66.65,2.397,6880.66,2.149,0.7229,17.115,0
63.97,2.357,5498.67,0.735,0.2763,21.834,0
51.89,1.084,2695.47,0.212,0.7589,15.038,0
55.2,0.28,3466.59,1.692,0.3006,9.8,0
